Tahun	y	x
2001	1.575822	2.235179698
2002	2.287706	3.090635928
2003	2.809896	3.376532827
2004	3.887678	3.630908791
2005	5.074186	4.289591484
2006	4.428274	4.107514355
2007	4.688263	4.946468138
2008	6.21583	4.620033675
2009	5.951962	3.247328238
2010	7.369249	4.812273068
2011	8.01254	4.748318533
2012	7.064457	4.606485522
2013	7.743879	4.151428229
2014	7.867195	3.639072303
2015	6.480155	3.555062495
2016	5.931285	3.758837332
2017	5.886103	3.841197264
2018	6.383108	3.987824861
2019	6.48746	3.871444142
